Field Name - APN CRM JSON Name,Name on ACE pipeline Manager,Datatype,Field Name - AWS Partner Selling APIs,Datatype - API,Field Validation,Description,Additional Details,Inbound - Mandatory / Conditionally Mandatory / Optional,Conditions when Mandatory (Biz Validation),Outbound - Mandatory / Conditionally Mandatory / Optional,Outbound - Conditions when Mandatory (Biz Validation),Update - Action Required,Update - After Launched (Closed Won),Updates up until Launched/Lost,Create,Outbound Payload
doesOppBelongToNatSec,Does this opportunity contain classified National Security information?,Single select picklist,AccessControls.NationalSecurity,Enum,Yes | No,Indicates whether the opportunity belongs to the national security category,"Partners must set this field to 'Yes' if the opportunity relates to a National Security related opportunity. If partner does not send a value for this field, the field is automatically set to ""No"". For backward compatibility with older versions, if no value is sent, it is automatically, set to 'No'. Takes a value ""Yes"" only when the industry is ""Government""

When this value is set to ""Yes"": 1. AWS redacts the values of postalCode, state, customerCompanyname, customerWebsite from all internal systems to maintain confidentiality. Also sets country to United States.
2.  partnerPrimaryNeedFromAws cannot take the value ""Do not need support from AWS Sales Rep""",Optional,Mandatory when opportunity contains classified information and is related to National Security,Optional,Mandatory when opportunity contains classified information and is related to National Security,No,No,No,Yes,Yes
city,City,Text,Customer.Account.Address.City,,,Specifies the city name where the end customer's business is located. This is part of the address of the end customer's company. ,,Optional,,Optional,,Yes,No,Yes,Yes,Yes
country,Country,Single select picklist,Customer.Account.Address.Country,,Accepts only standard values,Specifies the country of the end customer associated with the opportunity,"In the new version, additional picklist values have been added.

For backward compatability, when the country is set to one of the newly added values over the ACE pipeline Manager UI, will be transformed to United States by default.

When ""Does opportunity belong to NatSec?"" is set to Yes, country is set to United States by default

When an AWS Originated Opportunity is shared, this field is masked and comes with a value ""Accept to View""",Mandatory, ,Mandatory, ,Yes,No,No,Yes,Yes
customerWebsite,Customer Website,URL,Customer.Account.WebsiteUrl,,,Specifies the website URL of the end customer's company associated with the opportunity. The value provided in this field is crucial for mapping the customer within the AWS CRM system.,,Mandatory,Exception: Not mandatory if NatSec = True,Mandatory,Exception: Not mandatory if NatSec = True,Yes,No,No,Yes,Yes
customerDuns,Customer Data Universal Number System (DUNS),Text (9),Customer.Account.Duns,,,"Specifies the Data Universal Numbering System (DUNS) to uniquely identify a customer. The DUNS is a nine-digit identification number issued by Dun & Bradstreet (D&B). Each DUNS Number is specific to a particular site, meaning that separate DUNS numbers may be assigned to distinct physical locations of an entity, including branches, divisions, and headquarters.",DUNS number is useful to map the opportunity to an account but not the most reliable value since all customers do not have DUNS.,Optional,,Optional,,No,No,Yes,Yes,Yes
industry,Industry Vertical,Single select picklist,Customer.Account.Industry,,Accepts only standard values,"Specifies the industry to which the end customer associated with the opportunity belongs. The ""industry"" refers to the category or sector in which the customer's business operates.",,Mandatory, ,Mandatory, ,No,No,No,Yes,Yes
industryOther,Other - Industry Vertical,Text,Customer.Account.OtherIndustry,,,"Specifies the value indicating the industry of the end customer associated with the opportunity when the selected value in the ""industry"" field is ""Other"". This field is relevant when the customer's industry does not fall under the predefined picklist values and requires a custom description.",,Conditionally Mandatory,When Industry = Other,Optional,,No,No,No,Yes,Yes
customerCompanyName,Customer Company Name,Text,Customer.Account.CompanyName,,,Specifies the official name of the end customer's company associated with the opportunity. It allows for the accurate identification and reference of the business entity engaged in the transaction.,,Mandatory,Exception: Not mandatory if NatSec = True,Mandatory,Exception: Not mandatory if NatSec = True,No,No,No,Yes,Yes
postalCode,Postal Code,Text,Customer.Account.Address.PostalCode,,,Specifies the postal code or ZIP code that corresponds to the end customer's business address. This information is crucial for geo mapping of the company.,"Validation Change: Countries without postal code will no longer take values.

For backward compatability:
The outbound payload will have a default value of 99999 when the country does have a postal code.",Mandatory,"Exception: Not mandatory for countries without a postal code. Includes: Bonaire,Sint Eustatius and Saba",Conditionally Mandatory,"Exception: Not mandatory for countries without a postal code. Includes: Bonaire,Sint Eustatius and Saba",Yes,No,No,Yes,Yes
state,State,Single select picklist,Customer.Account.Address.StateOrRegion,,Accepts only standard values,Specifies the state or region name where the end customer's business address is situated. ,"Value to this field will be accepted only when country is United States. Any value outside the permitted list will receive an Invalid Value Error.

For backward compatability:
Partner using payload version 1.0 can continue to send values accepted as per field definition version 13.",Conditionally Mandatory,When country = United States. Not required if NatSec = True,Conditionally Mandatory,When country = United States. Not required if NatSec = True,Yes,No,No,Yes,Yes
