AWS Product Code,Product Name,Product Description,Product Family
AlexaforBusiness,Alexa for Business,Alexa for Business Provides Tools to Manage Alexa in Your Organization,Business Applications
S3IntelligentTiering,S3 Intelligent-Tiering,Automates storage cost savings by moving data when access patterns change,Storage
AmazonBraket,Amazon Braket,"Service for exploring, evaluating, and experimenting with quantum computing. Testing with APN 123.",Quantum Technologies
AmazonEC2P5,Amazon EC2 - P5,Secure and resizable compute capacity to support virtually any workload,Compute
AWSSupplyChainDemandPlanning,AWS Supply Chain Demand Planning,"Use ML algorithms built with user, macroeconomic data and retailer history to generate forecasts for capacity planning",Business Applications
TestNewAWSProductUAT1,Test New AWS Product UAT1,'Test AWS Product for DTI Co-sell',Analytics
AmazonCodeGuruProfiler,Amazon CodeGuru Profiler,0,Machine Learning
AWSSystemsManagerIncidentManager,AWS Systems Manager Incident Manager,Enables faster resolution of critical application availability and performance issues,Management & Governance
AmazonConnectGlobalResiliency,Amazon Connect - Global Resiliency,Make your contact center resilient and available across multiple regions to enhance business continuity plans,Customer Engagement
AWSIoTFleetWise,AWS IoT FleetWise,"Easily collect, transform, and transfer vehicle data to the cloud in near-real time",Internet of Things
AWSSiteLink,AWS SiteLink,"AWS Direct Connect SiteLink creates private, end-to-end network connections between the offices, data centers, and colocation facilities in your global network",Networking & Content Delivery
AmazonConnectCases,Amazon Connect - Cases,"Fast and easy way to manage your customer issues to resolution, even if they require multiple interactions, tasks, and teams",Customer Engagement
AmazonManagedServiceforApacheFlink,Amazon Managed Service for Apache Flink,Build and run fully managed Apache Flink applications,Analytics
AmazonVerifiedPermissions,Amazon Verified Permissions,Manage permissions and fine-grained authorization in applications that you build,"Security, Identity & Compliance"
AWSEntityResolution,AWS Entity Resolution,"Configurable, easy-to-use entity resolution workflows",Analytics
AWSPrivateCA,AWS Private CA,Create private certificates to identify resources and protect data,"Security, Identity & Compliance"
AmazonElasticMapReduceEMR,Amazon Elastic MapReduce (EMR),Managed Hadoop Framework,Analytics
AppStream,AppStream,0,Application Integration
AmazonElasticTranscoder,Amazon Elastic Transcoder,Easy-to-Use Scalable Media Transcoding,Media Services
AmazonSimpleEmailServiceSES,Amazon Simple Email Service (SES),High-scale inbound and outbound cloud email service,Customer Engagement
AmazonSQS,Amazon SQS,"Fully managed message queues for microservices, distributed systems, and serverless applications",Application Integration
AmazonCloudFront,Amazon CloudFront,Securely deliver content with low latency and high transfer speeds,Networking & Content Delivery
AmazonEC2AutoScaling,Amazon EC2 Auto Scaling,Add or remove compute capacity to meet changes in demand,Compute
ElasticLoadBalancingELB,Elastic Load Balancing (ELB),Distribute network traffic to improve application scalability,Networking & Content Delivery
AmazonWorkspaces,Amazon Workspaces,"Secure, reliable, and scalable access to persistent desktops from any location",End User Computing
AmazonWorkDocs,Amazon WorkDocs,Secure Enterprise Storage and Sharing Service,End User Computing
AmazonDynamoDB,Amazon DynamoDB,"Fast, flexible NoSQL database service for single-digit millisecond performance at any scale",Database
AmazonElastiCache,Amazon ElastiCache,Unlock microsecond latency and scale with in-memory caching,Database
AmazonRDSforMySQL,Amazon RDS for MySQL,"Set up, operate, and scale a relational database in the cloud with just a few clicks",Database
AmazonRDSforOracle,Amazon RDS for Oracle,"Set up, operate, and scale an Oracle database in the cloud with just a few clicks",Database
AmazonRDSforPostgreSQL,Amazon RDS for PostgreSQL,"Set up, operate, and scale a relational database in the cloud with just a few clicks",Database
AmazonRDSforSQLServer,Amazon RDS for SQL Server,"Set up, operate, and scale a SQL Server database in the cloud with just a few clicks",Database
AmazonRedshift,Amazon Redshift,"Fast, Simple, Cost-Effective Data Warehousing",Analytics
AWSCloudHSM,AWS CloudHSM,Managed hardware security module (HSM) on the AWS Cloud,"Security, Identity & Compliance"
AWSCloudFormation,AWS CloudFormation,Create and Manage Resources with Templates,Management & Governance
AWSCloudTrail,AWS CloudTrail,Track User Activity and API Usage,Management & Governance
AmazonCloudWatch,Amazon CloudWatch,Observability of your AWS resources and applications on AWS and on-premises,Management & Governance
AWSElasticBeanstalk,AWS Elastic Beanstalk,"Easy to begin, Impossible to outgrow",Developer Tools
AWSMarketplaceAMI,AWS Marketplace - AMI,Amazon Machine Image (AMI) Marketplace Products,Marketplace
AmazonCognito,Amazon Cognito,"Simple and Secure User Sign-Up, Sign-In, and Access Control","Security, Identity & Compliance"
AWSDirectConnect,AWS Direct Connect,Dedicated Network Connection to AWS,Networking & Content Delivery
AmazonRoute53,Amazon Route 53,Scalable DNS and Domain Name Registration,Networking & Content Delivery
AmazonVirtualPrivateCloudVPC,Amazon Virtual Private Cloud (VPC),Define and launch AWS resources in a logically isolated virtual network,Networking & Content Delivery
AmazonElasticBlockStoreEBS,Amazon Elastic Block Store (EBS),"Easy to use, high performance block storage at any scale",Storage
AmazonS3Glacier,Amazon S3 Glacier,"Long-term, secure, durable Amazon S3 object storage classes for data archiving",Storage
ImportExportDisk,Import/Export Disk,0,Storage
AmazonS3,Amazon S3,Object storage built to store and retrieve any amount of data from anywhere,Storage
SimpleDB,SimpleDB,0,Database
AWSDirectoryService,AWS Directory Service,Managed Microsoft Active Directory in AWS,"Security, Identity & Compliance"
AWSLambda,AWS Lambda,Run code without thinking about servers or clusters,Compute
AWSCodeDeploy,AWS CodeDeploy,Automate code deployments to maintain application uptime,Developer Tools
AWSKeyManagementServiceKMS,AWS Key Management Service (KMS),Easily create and control the keys used to encrypt or digitally sign your data,"Security, Identity & Compliance"
