Field Name - APN CRM JSON Name,Field Name - ACE Pipeline Manager2,Field Name - AWS Partner Selling APIs
primaryContactEmail,Partner Sales Contact Email,"
PartnerOpportunityContact.PartnerAccountManager.Email"
primaryContactFirstName,Partner Sales Contact First Name,"
PartnerOpportunityContact.PartnerAccountManager.FirstName"
primaryContactLastName,Partner Sales Contact Last Name,"
PartnerOpportunityContact.PartnerAccountManager.LastName"
primaryContactPhone,Partner Sales Contact Primary Phone,"
PartnerOpportunityContact.PartnerAccountManager.Phone"
primaryContactTitle,Partner Contact Title,"
PartnerOpportunityContact.PartnerAccountManager.Title"
doesOppBelongToNatSec,Does this opportunity contain classified National Security information?,AccessControls.NationalSecurity
opportunityOwnerEmail,Opportunity Owner Email,AccessControls.Owner.Email
opportunityOwnerName,Opportunity Owner Name,"AccessControls.Owner.FirstName
AccessControls.Owner.LastName"
aWSAccountOwnerEmail,AWS Account Manager Email,AWSOpportunityTeam.AWSAccountOwner.Email
aWSAccountOwnerName,AWS Account Manager Name,"AWSOpportunityTeam.AWSAccountOwner.FirstName
AWSOpportunityTeam.AWSAccountOwner.LastName"
aWSSalesRepEmail,AWS Sales Rep Email,AWSOpportunityTeam.AWSSalesRep.Email
aWSSalesRepName,AWS Sales Rep Name,"AWSOpportunityTeam.AWSSalesRep.FirstName
AWSOpportunityTeam.AWSSalesRep.LastName"
aWSISVSuccessManagerEmail,AWS ISV Success Manager Email,AWSOpportunityTeam.ISVSM.Email
aWSISVSuccessManagerName,AWS ISV Success Manager Name,"AWSOpportunityTeam.ISVSM.FirstName
AWSOpportunityTeam.ISVSM.LastName"
partnerDeveloperManagerEmail,Partner Developer Manager Email,AWSOpportunityTeam.PDM.Email
partnerDeveloperManager,Partner Developer Manager,"AWSOpportunityTeam.PDM.FirstName
AWSOpportunityTeam.PDM.LastName"
aWSPartnerSuccessManagerName,AWS Partner Success Manager Email,AWSOpportunityTeam.PSM.Email
aWSPartnerSuccessManagerEmail,AWS Partner Success Manager Name,"AWSOpportunityTeam.PSM.FirstName
AWSOpportunityTeam.PSM.LastName"
wWPSPDMEmail,WWPS PDM Email,AWSOpportunityTeam.WWPSPDM.Email
wWPSPDM,WWPS PDM,"AWSOpportunityTeam.WWPSPDM.FirstName
AWSOpportunityTeam.WWPSPDM.LastName"
aWSClosedLostReason,AWS Closed Lost Reason,AWSSalesLifeCycle.ClosedLostReason
aWSStage,AWS Stage,AWSSalesLifeCycle.Stage
aWSCloseDate,AWS Close Date,AWSSalesLifeCycle.TargetCloseDate
createdDate,#N/A,CreatedDate
